Individual	Population	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
244	48.2	-0.0815336	-0.0312338	-0.0472253	0.0632528	-0.0496659	0.0106334	0.0671835	0.0563582	-0.0125448	-0.0329109
247	48.2	-0.0332081	-0.0144852	-0.0154261	0.00561132	0.0187124	-0.0249957	-0.0902554	0.0314701	-0.00364373	0.00281285
248	48.2	-0.0364194	0.0571408	0.0174	-0.00160369	-0.0480022	0.101827	0.124645	-0.0336542	-0.0108017	0.015168
249	48.2	-0.0170681	0.0476844	0.0441975	-0.0268779	0.000597367	0.0175236	-0.0136322	0.00884127	0.0587644	-0.109928
250	48.2	0.00253605	-0.00595975	-0.108361	-0.059606	-0.0495892	0.0317199	0.0187109	-0.0286953	-0.0256801	-0.0584855
251	48.2	0.0230831	0.00517701	0.022338	0.0361598	-0.0381611	-0.0333126	0.00404018	0.011576	0.0285256	-0.0438505
252	48.2	-0.0191684	0.0975336	0.0251709	-0.00526728	0.0586134	0.0106738	0.00188848	-0.0637415	0.00232729	-0.00365479
253	48.2	-0.0680053	0.0109218	-0.00661835	0.0906933	0.0226541	0.0603557	-0.193045	0.109544	-0.10296	0.104454
254	48.2	-0.00332892	0.0250639	0.00734218	-0.0405616	-0.0103589	-0.0246986	0.0485244	-0.0579466	0.0743999	0.0431079
258	48.2	-0.00255092	0.00648676	-0.0243407	0.0230832	0.0364047	-0.00473829	0.0214968	-0.0132857	-0.0193846	0.0199514
259	48.2	-0.062514	0.0285126	0.0553405	-0.0155537	0.0535398	0.0598328	-0.0284958	-0.088317	-0.0310577	0.0299298
260	48.2	-0.058545	0.0467738	-0.00277862	0.0223615	-0.0358383	0.00852859	-0.0320345	-0.0107482	0.038127	-0.0292486
261	48.2	0.0890918	-0.0493384	0.185724	0.361179	0.114853	-0.0966038	0.434039	0.230477	0.0968504	0.157158
262	48.2	0.0189436	0.0645305	-0.0295758	0.0437549	-0.0153854	0.0029901	-0.0667443	-0.0522674	-0.029383	0.0463457
263	48.2	-0.0256229	0.0368426	-0.068742	0.0546172	0.0381057	-0.0400363	-0.00534189	0.0522144	0.106495	0.078582
264	48.2	-0.0334777	-0.104654	0.0236691	0.106652	0.0125839	0.0874331	0.0643732	-0.0140268	0.0491413	0.0147673
265	48.2	-0.065328	-0.0129022	-0.003737	0.00976539	0.0154969	0.0550406	0.117135	0.0808059	-0.13178	-0.0134607
266	48.2	-0.126308	-0.093882	-0.196229	0.086008	-0.136808	0.0707587	-0.0174633	-0.0546963	0.243818	0.0216374
267	48.2	0.0484202	0.0724221	0.0162611	-0.06736	-0.0209599	-0.0410204	0.204788	-0.0268754	-0.136655	0.190051
268	48.2	-0.00563501	-0.034593	-0.0639156	0.103869	0.0187252	-0.164206	-0.0108938	-0.11611	-0.0331491	0.166437
269	48.2	-0.0118502	0.00188614	-0.0223821	0.0482324	0.0343372	0.0109005	0.0227982	0.0465229	0.0190639	-0.0389705
271	48.2	0.00411828	0.00664619	-0.0162861	0.0168954	0.00190391	0.0610399	-0.0161304	0.0455291	0.0593673	-0.0451236
272	48.2	0.00275085	0.0329395	-0.0449998	0.0841846	-0.0174315	-0.00429634	-0.000408798	-0.0657966	0.129146	0.0692568
