Individual	Population	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
190	48.1	-0.0552013	0.0516463	0.0431806	-0.00986917	-0.00348793	-0.105748	0.0573531	0.0594765	-0.158878	0.0501235
191	48.1	0.0274683	0.0173981	0.0577115	-0.0659926	-0.0234891	0.00493644	0.0144068	0.0302356	0.0447822	0.0134477
192	48.1	-0.12832	0.106944	-0.0386087	-0.0486807	0.244936	-0.2321	0.0709898	-0.3294	-0.14921	-0.0476567
193	48.1	0.0392953	-0.0206382	-0.0420578	0.0379807	-0.0405334	-0.0312036	0.0198493	0.0586885	-0.0331391	-0.0196084
194	48.1	0.0626457	0.0248801	-0.491613	-0.309241	-0.345868	0.0436617	0.0256959	-0.16223	-0.0809649	0.251053
195	48.1	0.391985	0.218422	-0.12541	-0.206988	0.036323	0.196062	-0.0911606	0.098356	-0.0091389	-0.163395
196	48.1	-0.0568581	0.0346955	0.0372343	-0.0453654	0.0644455	-0.0023728	-0.112918	0.0142461	0.00558066	-0.0418162
197	48.1	0.00836324	-0.0364758	0.0312935	-0.0707308	-0.0511138	0.0180215	-0.059074	0.0321039	-0.0199833	0.0119592
198	48.1	0.146398	-0.625567	-0.170451	0.201812	-0.217111	-0.129513	0.251746	0.220326	-0.121036	-0.0150368
199	48.1	0.0121973	0.024909	-0.014485	-0.0159674	0.0139826	-0.0366689	0.0568291	-0.0390922	0.00535776	-0.0180226
200	48.1	-0.0112012	0.0108921	0.00767022	0.00378316	0.0271633	-0.0321368	-0.00947046	-0.00598543	-0.00923428	0.0284789
201	48.1	-0.0316652	-0.103874	0.10012	0.120014	-0.105256	0.016798	-0.170704	-0.0821873	-0.0562951	-0.0487785
203	48.1	-0.00686564	-0.0116387	0.00226457	0.0220553	0.0514392	-0.0181276	6.22E-05	0.0136764	-0.00279883	0.0345456
206	48.1	-0.0127362	0.0596364	-0.00270699	0.0197251	0.0564878	0.0130127	0.0444154	-0.117121	-0.0194058	0.0204867
207	48.1	-0.0242863	-0.0660755	-0.230737	-0.079604	0.404978	0.189522	0.303806	-0.103241	-0.149849	-0.22847
208	48.1	0.173895	0.00818799	-0.021669	-0.00465105	-0.00268237	0.149806	-0.00839183	0.0422256	0.084365	-0.270718
209	48.1	-0.0630722	-0.0335996	-0.0307551	0.0234042	-0.0420591	-0.0415336	0.0204347	0.0234475	0.0405778	-0.0119896
210	48.1	-0.00640118	-0.0376274	0.0165923	-0.0152785	-0.0773225	0.0286135	0.127954	0.0451728	-0.0322549	-0.0878352
211	48.1	0.0271793	-0.000435487	0.0439346	-0.0119797	0.00490588	-0.0494416	0.0118791	0.0337885	-0.01176	-0.0675337
213	48.1	-0.0383368	-0.0573222	0.0324007	-0.0719084	0.0294595	0.0300713	-0.0662678	0.0543462	0.0547789	0.0451337
214	48.1	-0.0680347	0.20788	0.281021	-0.2758	-0.192136	0.217394	0.227017	0.208373	-0.204804	-0.156728
215	48.1	-0.0385192	-0.0560504	0.00335353	0.0901323	-0.0471107	0.111719	-0.0164995	-0.0731613	-0.019501	-0.0753206
